beer_name,brewery,ba_score,ranking,reviews,ratings,pdev,wants,gots,trade,location,style,alcohol,availability,note_desc
Hofbräu Dunkel,Hofbräuhaus Newport,3.92,"#14,350",14,34,10.2%,2,9,0,Kentucky,Munich Dunkel Lager,5.50%,Year-round,"
Our dark lager. It has a light body, is easy to drink, with simple roasted malt flavor and slight caramel undertones."
Rocky Road - Bourbon Barrel-Aged,Angry Chair Brewing,4.67,-,7,53,5.35%,20,7,1,Florida,American Imperial Stout,11.50%,Limited (brewed once),"
Imperial sweet stout with cacao nibs, marshmallow and walnuts, aged in bourbon barrels"
Double Dry Hopped All Citra Everything,Other Half Brewing Co.,4.52,#146,54,402,5.09%,39,44,1,New York,New England IPA,8.50%,Rotating,"
Double Dry Hopped All Citra Everything is the standard All Citra Everything double dry hopped with an extra dose of Citra lupulin powder."
Chimera,Birrificio Del Ducato,3.83,"#19,478",27,49,9.14%,5,6,1,Italy,Belgian Dark Ale,8.00%,Year-round,"
No notes at this time."
Me & The Dev-Ale,Lazy Magnolia Brewing Company,3.59,"#35,003",24,117,10.31%,1,24,0,Mississippi,American Strong Ale,8.00%,Rotating,"
A rustic Mississippi Ale inspired by the Delta Blues. A sinister brew with a seductive balance of sweetness, resinous pine, and citrus aromas. Find yourself at the ""crossroads"" of alluring malt character and deviant hop backbone while celebrating the blues legends."
Lilikoi,Maui Brewing Co.,3.72,-,6,12,4.84%,0,0,0,Hawaii,Belgian Saison,5.50%,Limited (brewed once),"
No notes at this time."
Mootzy’s Treasure,Crooked Hammock Brewery,3.79,"#22,820",5,18,8.97%,1,7,0,Delaware,American IPA,6.00%,Year-round,"
No notes at this time."
Druid City Pale Ale,Druid City Brewing Company,3.75,"#24,870",2,21,10.13%,0,5,0,Alabama,American Pale Ale (APA),6.20%,Year-round,"
No notes at this time."
On One,Blackstack Brewing,4.41,-,7,23,5.9%,1,1,0,Minnesota,American Imperial IPA,8.20%,Limited (brewed once),"
No notes at this time."
Drie Fonteinen Oude Geuze,Brouwerij 3 Fonteinen,4.4,#382,760,"2,901",8.18%,457,791,94,Belgium,Belgian Gueuze,6.00%,Year-round,"
This listing is for all vintages of the Oude Geuze, but not for bottles specifically labelled ""Oude Geuze Vintage""."
Citrapollo - Double Dry-Hopped,Magnify Brewing Company,4.28,"#4,234",3,18,5.84%,0,3,0,New Jersey,American Imperial IPA,7.60%,Rotating,"
Double Dry Hopped Citrapollo is a 7.6% Double IPA hopped very generously with Citra and Apollo in the whirlpool. We then double dry hopped it with even more Citra and Apollo. Dank and tropical."
(512) Pecan Porter,(512) Brewing Company,4.14,"#3,248",136,786,11.11%,140,207,1,Texas,American Porter,6.80%,Year-round,"
Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with Baird’s Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!"
Imperial Rye IPA,Reuben's Brews,4.11,"#4,608",20,108,8.27%,6,6,0,Washington,American Imperial IPA,8.40%,Rotating,"
No notes at this time."
Gangster Frog,Hoppin' Frog Brewery,4.24,"#1,655",65,403,8.02%,55,66,2,Ohio,American IPA,7.50%,Rotating,"
Crisp and satisfying American I.P.A. with a skillfully assertive American hop aroma & flavor. Bright spicy citrus hop character up front, with a distinct orange & tropical fruit hop bouquet to add a welcome complexity & strike the perfect balance. It’s all about the hops with Gangster Frog I.P.A."
Tecate Light,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",2.28,"#44,873",74,299,34.21%,9,88,0,Mexico,American Light Lager,3.90%,Year-round,"
A bold choice for those who prefer a light beer, with clear golden color, defined malt character and smooth bitterness. The fermenting process and the hops used impart a light citrus flavor and aroma, making for a truly unique light beer."
Kagua Rouge,Nippon Beer Co. Ltd.,3.85,"#19,069",7,24,5.45%,9,24,0,Japan,Belgian Strong Dark Ale,9.00%,Year-round,"
No notes at this time."
IdonteverEVERwanttoBU,The Veil Brewing Co.,4.46,#436,14,80,5.83%,23,8,0,Virginia,New England IPA,9.30%,Rotating,"
Double Dry-hopped 0 IBU DIPA with Citra and Mosaic. This one is literally cray cray. Almost 9lbs/BBL total hops used on this. It's hands down the most hops we've ever put in any beer. The hop presence on the aromatics and flavor profile on this one is unparalleled to any other DIPA we've released. Due to the amount of hops we had to use in this one, we will most likely not be brewing this one again. If we do, it won't be for a very long time."
Tenaya Creek Old Jackalope Barleywine,Tenaya Creek Brewery,3.82,"#19,643",27,118,13.09%,14,17,4,Nevada,American Barleywine,10.40%,Winter,"
Old Jackalope Barleywine Style Ale: Whats sealed in this bottle is only heard of in myths. Its so rare in fact, we have used a magical seal that only opens with an ""Abracadabra,"" or the bottle opener hanging from your keys. This rich and complex ale uses a variety of malts and hops to balance what we think is one ultimate beer. Share it with friends, savor it with colleagues, or stash it away for a future occasion. This ale will keep for months, or years if you manage to resist the temptation."
Achocolypse,Prescott Brewing Company,3.92,"#13,095",16,71,11.99%,2,16,0,Arizona,American Porter,6.00%,Winter,"
No notes at this time."
Intergalactic Event,Magnify Brewing Company,4.24,"#3,937",10,26,5.66%,1,3,0,New Jersey,American IPA,6.50%,Rotating,"
Intergalactic Event is a 6.5% IPA based off of Maine Event IPA. Maine Event is brewed and dry hopped with Citra and Simcoe. We used the same recipe for Maine Event, but swapped all the Simcoe in the whirlpool and first dry hop for Galaxy. We then dry hopped it a second time with another hefty dose of Galaxy."
Willy Nilly,Defiance Brewing Co.,3.69,"#28,533",12,34,11.65%,2,11,0,Kansas,American Blonde Ale,5.00%,Year-round,"
No notes at this time."
My Cherry Amour,West Sixth Brewing Company,3.9,"#18,082",2,12,10.26%,0,0,0,Kentucky,Belgian Quadrupel (Quad),10.00%,Rotating,"
No notes at this time."
Fatso,Good People Brewing Company,4.18,"#3,247",21,85,9.57%,72,9,0,Alabama,Russian Imperial Stout,8.50%,Rotating,"
A huge, viscous, full-bodied, dark as night, imperial stout yet somehow amazingly drinkable. Big aromas and flavors including dark fruits, roasted malts, dark chocolate, and spiced rum. Not for the faint of heart. Big but surprisingly nimble, as it can compliment any course of a meal."
Road Runner IPA,Blue Corn Brewery,3.69,"#28,622",7,40,10.03%,0,4,0,New Mexico,American IPA,6.50%,Year-round,"
IPAs have become a staple in the craft brewing world, and this one is sure to please your hop-head palate. This beer is dryer and less malty than our High Altitude Pale ale. Dry hopped with Columbus, Centennial and Cascade hops."
Abt 12 Oak Aged,Brouwerij St. Bernardus NV,4.35,#743,67,238,7.59%,52,96,7,Belgium,Belgian Quadrupel (Quad),11.00%,Rotating,"
St Bernardus Abt matured for 6 months in Oak Calvados barrels."
Darkstar November,Bottle Logic Brewing,4.47,#226,74,551,6.04%,193,164,16,California,Russian Imperial Stout,13.70%,Fall,"
Imperial Russian stout with rye and molasses, aged in Buffalo Trace bourbon barrels"
Nate’s Nut Brown Ale,Chestnut Brew Works,4.18,"#6,950",0,16,7.42%,3,5,0,West Virginia,American Brown Ale,5.00%,Year-round,"
No notes at this time."
Burton Baton,Dogfish Head Craft Brewery,4.23,"#1,642","1,911","6,678",10.17%,425,"1,654",32,Delaware,American Imperial IPA,10.00%,Year-round,"
This oak-aged gentle giant has been gaining popularity over the past few years and is now available year-round."
Bourbon Barleywine,Stewart's Brewing Co.,4.09,"#11,170",6,11,4.89%,2,0,0,Delaware,American Barleywine,10.60%,Rotating,"
Aged 8 months in Heaven Hill Bourbon barrels. Perfect for the winter, unseasonably warm or not!"
Tweeds Tavern Stout,Twin Lakes Brewing Co.,3.68,"#29,023",9,32,11.68%,1,5,0,Delaware,American Stout,5.50%,Year-round,"
Named after the historic Tweeds Tavern, one of the earliest breweries in Delaware, Tweeds Tavern Stout is an American stout fashioned in the Pacific Northwest style. It features a complex blend of the freshest American ingredients including black roasted barley, black malt, rolled oats, red wheat with Cascade and Galena hops. Our stout is mellow and mild with pleasant, roasted coffee and chocolate elegance and smoothly balanced body. It produces a thick, rich, foamy, mocha head that clings to the glass. People who say they don’t like dark beers are surprised once they taste our stout and experience for themselves how delicious and drinkable it is."
Dimorphic,Deciduous Brewing Company,4.15,"#7,973",3,15,9.64%,0,3,0,New Hampshire,American Imperial IPA,8.00%,Rotating,"
Dimorphic is our interpretation of a double IPA with a rotating recipe. "
St. Ides High Gravity Malt Liquor,Saint Ides Brewing Company,2.16,"#44,897",83,203,36.11%,11,34,0,Texas,American Malt Liquor,8.20%,Year-round,"
St. Ides Premium Malt Liquor was renamed to St. Ides High Gravity Malt Liquor."
Spaceman,Brewfist,3.76,"#24,173",28,119,11.97%,6,26,0,Italy,American IPA,7.00%,Year-round,"
No notes at this time."
Two To The Dome,3 Stars Brewing Company,3.8,"#21,201",19,102,12.63%,3,15,0,District of Columbia,American Imperial IPA,8.90%,Year-round,"
triple dry hopped DIPA with Lupulin Powder"
Mandarina Punch,Kane Brewing Company,4.25,-,2,15,4.71%,0,3,0,New Jersey,American Imperial IPA,9.80%,Rotating,"
Mandarina Punch, the latest variant in the Punch series, is an orange pineapple IPA. This beer was fermented with pineapple and a small amount of lactose. We dry hopped it with copious amounts of Denali, Mandarina Bavaria, and Galaxy then aged it on citrus peel."
Hazelnut Creme Stout,Whalers Brewing Company,4.04,"#8,183",11,44,11.39%,3,11,0,Rhode Island,American Stout,6.50%,Year-round,"
This beer has generous amounts of flaked oats, chocolate malt and roasted barley giving it a complex body, creamy mouthfeel, and pours with a thick tan head. Fresh brewed hazelnut coffee is added prior to kegging. Not too heavy, not too light, this beer is perfect."
Frieze DDH Milkshake IPA,Urban South Brewery,4.04,"#12,388",0,12,4.21%,1,1,0,Louisiana,New England IPA,7.50%,Rotating,"
Citra, El Dorado, Simcoe, and Denali Double Dry-Hopped IPA brewed with Lactose"
Grandma's Boy Wild Ale,Bellwoods Brewery,4.34,"#1,699",13,41,5.07%,1,10,0,Ontario,American Wild Ale,7.90%,Rotating,"
In looking at the 2016 version then, Grandma’s Boy still includes the deep golden colour, brett aromatics, yellow shiro plums, and the dry body. Our desire was to to lighten up the ABV, increase the acidity, and turn it into the A+++ we knew it could be (no further comments necessary). The new designation of “Wild Ale” more accurately reflects the style, allowing for acidity and the contribution of multiple strains of brett. Grandma’s Boy 2016 is all about clean brett aromatics, juicy stone fruit flavours, and a subtle but decidedly spicy oak character. The body is dry and lightly acidic, with notes of underripe pear, apricot, and plum."
Pan-American Stout,Wanderlust Brewing Company,4.09,"#8,429",0,21,7.09%,0,6,0,Arizona,English Oatmeal Stout,5.20%,Year-round,"
No notes at this time."
Fathead Barleywine,Nebraska Brewing Company,3.88,"#16,912",5,30,11.6%,3,4,0,Nebraska,American Barleywine,11.30%,Rotating,"
This listing is for draft/growler reviews only."
Cantillon Carignan 2017,Brasserie Cantillon,4.59,-,3,12,5.23%,2,0,0,Belgium,Belgian Fruit Lambic,not listed,Limited (brewed once),"
2 years old lambic with Carignan grapes from Mas d'Agalis in South of France."
Prime IPA,Goodfire Brewing Company,4.21,-,8,38,5.7%,3,10,0,Maine,American IPA,6.50%,Year-round,"
No notes at this time."
Brewer's Reserve Bourbon Barrel Stout,Central Waters Brewing Co.,4.26,"#1,323",739,"2,685",8.45%,441,892,87,Wisconsin,American Imperial Stout,10.50%,Rotating,"
American-style stout aged for 1 year in used 12 year bourbon barrels."
Saison Bernice,Sante Adairius Rustic Ales,4.51,#142,93,974,5.99%,486,136,17,California,Belgian Saison,6.50%,Rotating,"
Saison Bernice is an exquisitely fermented farmhouse ale. Dry and refreshing Bernice is made of the freshest on-hand and locally available ingredients. She saw multiple yeast additions including Brettanomyces and further bottle aging. Drink now or cellar properly. Saison Bernice will endure. The beer in this bottle is alive. So is the yeast. Grow it, keep it, use it. We encourage you to brew your own."
Double Dry Hopped Citra Daydream,Other Half Brewing Co.,4.44,#757,4,49,5.41%,2,9,0,New York,New England IPA,6.00%,Rotating,"
DDH Citra Daydream Oat Cream IPA (6%) is our crushable, heavily oated with a hint of lactose sugar, IPA that is crushed with Citra and Citra lupulin powder."
Pisgah Valdez,Pisgah Brewing Co.,4.15,"#3,151",207,386,10.84%,184,23,1,North Carolina,American Stout,6.20%,Rotating,"
This robust Coffee Stout is a mouthful of flavor! A dark, roasty grain bill stands as the backdrop for a galaxy of coffee aroma and flavor, made possible by local organic bean roasters Dynamite Roastery. A Pisgah fan favorite, Valdez is brewed bi-annually and never lasts as long as the flavor."
Midas Touch,Dogfish Head Craft Brewery,3.73,"#26,617","1,685","4,947",14.75%,219,"1,035",6,Delaware,Herb and Spice Beer,9.00%,Year-round,"
This sweet yet dry beer is made with ingredients found in 2,700-year-old drinking vessels from the tomb of King Midas. Somewhere between wine and mead, Midas will please the chardonnay and beer drinker alike."
Infinity + Everything,Sand City Brewing Co.,4.51,-,6,29,4.43%,2,2,0,New York,American Imperial IPA,8.50%,Limited (brewed once),"
No notes at this time."
Weltenburger Kloster Barock Dunkel,Klosterbrauerei Weltenburg,3.93,"#11,502",168,337,11.45%,26,51,0,Germany,Munich Dunkel Lager,4.70%,Year-round,"
No notes at this time."
Hypnopompa - Rum Barrel-Aged,Omnipollo,4.26,"#4,445",9,19,5.87%,2,0,0,Sweden,American Imperial Stout,11.00%,Year-round,"
No notes at this time."
Galaxy Pale Ale,Hill Farmstead Brewery,4.3,"#1,244",14,150,5.81%,17,7,0,Vermont,American Pale Ale (APA),5.50%,Rotating,"
An American Pale Ale bittered, flavored, and dry hopped exclusively with Galaxy hops."
Obscura American Brown Ale,Cucapá Brewing Company,3.45,"#39,651",88,141,13.91%,2,15,0,Mexico,American Brown Ale,4.50%,Year-round,"
No notes at this time."
Cousin Eddie,Columbus Brewing Company,4.27,"#2,235",11,52,7.96%,4,10,0,Ohio,American Strong Ale,9.40%,Rotating,"
No notes at this time."
Mosaic Dry Hopped Fort Point,Trillium Brewing Company,4.51,#137,141,"1,208",5.76%,183,205,0,Massachusetts,American Pale Ale (APA),6.60%,Rotating,"
With this distinctively dank Fort Point variant we feature Mosaic in the dry hop. Pouring a faintly cloudy, canary gold, Mosaic Fort Point emits a fragrant nose of herbal-woodsy hop, passion fruit, and zesty meyer lemon. Thirst quenching flavors of juicy mango, peppy citrus, and earthy hop entwine on the palate with the familiar biscuity mouthfeel, medium body, and bone dry finish of our signature pale ale."
8°,Selkirk Abbey Brewing Company,3.94,"#16,680",3,11,10.41%,0,2,0,Idaho,Belgian Dubbel,8.50%,Spring,"
Rich but gentle malt takes the lead, ahead of noble hops with their delicate spice notes in this mahogany hued ale. Ancient in origin, the abbey dubbel was all but lost until revived during the Napoleonic era. Today it has become the quintessential Belgian style."
Nectarine Premiere,de Garde Brewing,4.64,#39,41,322,5.17%,205,25,1,Oregon,Belgian Saison,7.10%,Rotating,"
A wild farmhouse ale aged in oak wine barrels with nectarines."
Gone Till November,Diamondback Beer,4.13,"#8,027",2,17,4.36%,1,2,0,Maryland,American IPA,7.50%,Rotating,"
No notes at this time."
Lemongrass Saison,Maui Brewing Co.,3.65,"#31,926",48,178,12.33%,9,15,0,Hawaii,Belgian Saison,5.00%,Rotating,"
Brewed in collaboration with The Lost Abbey."
Carnal Knowledge In The Wood,Tyranena Brewing Company,4.19,"#2,507",31,217,5.73%,20,37,3,Wisconsin,American Imperial Stout,8.50%,Rotating,"
Give yourself over to ultimate pleasure. Black, smooth, silky. The decadent flavors from roasted malts like caramel, chocolate, and coffee. Enhance with the allure of rye whiskey barrel-aging. A voluptuous pleasure."
